polling_firm,fieldwork_start,fieldwork_end,date_elec,sample_size,turnout,pp,psoe,unidas_podemos,cs,erc_sobiranistes,p_de_cat,basque_nationalist_party,pacma,eh_bildu,c_ca,vox,compromis,jx_cat,na
ElectoPanel,28/04/2019,28/04/2019,28/04/2019,4300,NA,19.3,25.3,14.5,15,3.3,NA,1.3,1.4,0.8,0.3,13,1.2,1.4,0.3
SocioMétrica,25/04/2019,27/04/2019,28/04/2019,3600,NA,17.9,27.9,16.5,16,2.8,NA,1.2,NA,0.9,0.3,11,0.5,1.6,0.3
IMOP,25/04/2019,27/04/2019,28/04/2019,4200,NA,18.3,26.8,16.8,14.2,3.1,NA,1.2,NA,0.9,0.3,12.7,0.6,1.3,0.2
GAD3,25/04/2019,27/04/2019,28/04/2019,12000,NA,17.8,28.1,16.1,14.4,3.3,NA,1.3,NA,0.7,0.3,12.4,0.5,1.6,0.5
El Español,26/04/2019,26/04/2019,28/04/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Podemos,26/04/2019,26/04/2019,28/04/2019,NA,NA,15,30,15,15,NA,NA,NA,NA,NA,NA,15,NA,NA,NA
Demoscopia Servicios,26/04/2019,26/04/2019,28/04/2019,NA,NA,21.7,27.2,12.3,15.4,NA,NA,NA,NA,NA,NA,13.3,NA,NA,NA
PSOE,25/04/2019,25/04/2019,28/04/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ElectoPanel,22/02/2019,22/02/2019,28/04/2019,11000,NA,20.2,25.3,14.6,15,2.7,NA,1.3,1.8,0.8,0.3,12.3,1.3,1.3,0.3
ElectoPanel,22/02/2019,22/02/2019,28/04/2019,11000,NA,20.1,25.6,14.1,15.1,2.7,NA,1.3,1.9,0.8,0.2,12.4,1.3,1.3,0.3
ElectoPanel,22/02/2019,22/02/2019,28/04/2019,11000,NA,19.9,26.2,13.5,15.1,2.7,NA,1.3,2.1,0.8,0.2,12.4,1.3,1.3,0.3
Hamalgama Métrica,22/04/2019,22/04/2019,28/04/2019,NA,70.5,23.1,28.1,12.1,13.2,3.1,NA,1.3,1.4,0.8,0.3,10.1,0.9,1.4,0.1
Llorente & Cuenca,22/04/2019,22/04/2019,28/04/2019,NA,NA,22,28.3,13.8,18.9,2.8,NA,NA,NA,NA,NA,7.9,NA,1.3,NA
KeyData,22/04/2019,22/04/2019,28/04/2019,NA,67.7,20.4,29.4,13.1,15.3,3.3,NA,1.2,NA,0.9,0.4,10.4,NA,1.5,NA
Demoscopia Servicios,20/04/2019,22/04/2019,28/04/2019,NA,NA,21.8,28.1,12.6,14.4,2.9,NA,1.4,NA,0.9,0.3,12.7,1.1,1.3,NA
ElectoPanel,22/02/2019,22/02/2019,28/04/2019,11000,NA,19.5,27.2,12.8,15,2.7,NA,1.3,2.2,0.8,0.2,12.4,1.3,1.3,0.3
Infortécnica,21/04/2019,21/04/2019,28/04/2019,1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SocioMétrica,19/04/2019,21/04/2019,28/04/2019,1800,NA,18.2,29.5,13.6,15.1,3.3,NA,1.1,0.9,0.9,0.2,12.6,1.1,1.3,0.3
ElectoPanel,22/02/2019,22/02/2019,28/04/2019,11000,NA,19.9,27.4,12.4,14.4,2.8,NA,1.3,2.3,0.8,0.2,12.5,1.3,1.3,0.3
Celeste-Tel,18/04/2019,20/04/2019,28/04/2019,1100,68.3,23.5,28.9,13.5,15.1,2.9,NA,1.2,1.3,0.8,0.3,7.9,1.3,1.5,0.4
IMOP,18/04/2019,20/04/2019,28/04/2019,1400,70,19.8,29.8,14.1,15.1,3,NA,1.2,1.8,0.8,0.3,10,0.8,1.2,0.3
SocioMétrica,18/04/2019,20/04/2019,28/04/2019,1800,NA,18.4,30,13.7,15.5,3.2,NA,1.1,0.8,1,0.2,11.8,1,1.4,0.3
ElectoPanel,22/02/2019,22/02/2019,28/04/2019,10800,NA,19.9,27.5,12.3,14.3,2.7,NA,1.3,2.2,0.8,0.2,12.5,1.3,1.3,0.3
InvyMark,17/04/2019,19/04/2019,28/04/2019,NA,NA,20.4,28.1,13,15.2,3.3,NA,1.3,NA,NA,NA,12.7,NA,1.3,NA
NC Report,17/04/2019,19/04/2019,28/04/2019,1000,68.9,23.8,28.1,13,14.9,2.9,NA,1.3,NA,0.8,0.3,9,1.5,1.4,0.4
SocioMétrica,17/04/2019,19/04/2019,28/04/2019,1800,NA,18.5,30.5,13.8,15.9,3.1,NA,1,0.7,1.1,0.2,10.9,0.8,1.5,0.2
GAD3,17/04/2019,19/04/2019,28/04/2019,10000,NA,20.1,31.5,12.1,13.9,3.3,NA,1.2,1.9,0.9,0.3,11.4,0.4,1.2,0.5
ElectoPanel,22/02/2019,22/02/2019,28/04/2019,10700,NA,20.1,27.6,12.4,14.2,2.8,NA,1.3,2.3,0.8,0.2,12.5,1.3,1.3,0.4
Demoscopia Servicios,16/04/2019,18/04/2019,28/04/2019,950,NA,21.6,28.4,12.7,14.7,2.4,NA,1.4,NA,0.9,0.3,12.4,1.2,1.2,NA
40dB,16/04/2019,18/04/2019,28/04/2019,2000,NA,17.8,28.8,13.2,14.1,3.3,NA,1,2.8,1,0.4,12.5,0.9,1.9,NA
Sondaxe,16/04/2019,18/04/2019,28/04/2019,1000,NA,18.3,30.9,13.6,13.8,2.8,NA,2.1,NA,0.8,0.4,10.5,NA,1.5,0.3
SocioMétrica,16/04/2019,18/04/2019,28/04/2019,1800,NA,18.6,31,13.4,15.5,3.2,NA,1.1,0.9,1,0.2,11,0.6,1.4,0.2
ElectoPanel,22/02/2019,22/02/2019,28/04/2019,10600,NA,20.3,27.6,12.4,14.3,2.8,NA,1.4,2.3,0.9,0.2,12.4,1.3,1.3,0.4
PP,17/04/2019,17/04/2019,28/04/2019,NA,NA,19,30,12.5,12.5,NA,NA,NA,NA,NA,NA,11,NA,NA,NA
DYM,15/04/2019,17/04/2019,28/04/2019,1025,NA,20.4,29,13.7,15.5,NA,NA,NA,NA,NA,NA,10.4,NA,NA,NA
Celeste-Tel,15/04/2019,17/04/2019,28/04/2019,1100,NA,23.8,28.1,12.9,15.8,2.9,NA,1.2,1.4,0.8,0.3,7.7,1.4,1.4,0.4
SocioMétrica,15/04/2019,17/04/2019,28/04/2019,1800,NA,18.7,30.8,13.1,15.8,3.4,NA,1.1,0.8,1.1,0.2,10.6,0.7,1.3,0.3
Sigma Dos,15/04/2019,17/04/2019,28/04/2019,8000,NA,20.1,30.3,13.2,15,3.8,NA,1.3,NA,NA,NA,10.2,NA,1.3,NA
ElectoPanel,22/02/2019,22/02/2019,28/04/2019,10200,NA,20.4,27.7,12.4,14.6,2.7,NA,1.4,2.2,0.8,0.2,12,1.3,1.3,0.4
Metroscopia,14/04/2019,16/04/2019,28/04/2019,4775,NA,19.6,29.1,14.3,14.2,3.5,NA,1.4,NA,0.7,0.3,11.1,1.1,1.4,0.3
IMOP,14/04/2019,16/04/2019,28/04/2019,1400,71,19.3,30.4,13.5,15.3,3.2,NA,1.2,1.9,0.8,0.3,9.6,0.8,1.4,0.3
SocioMétrica,14/04/2019,16/04/2019,28/04/2019,1800,NA,18.8,30.5,12.7,16,3.3,NA,1.1,1,1,0.2,10.9,0.8,1.3,0.3
ElectoPanel,22/02/2019,22/02/2019,28/04/2019,10200,NA,20.2,28.2,12.4,15.3,2.8,NA,1.3,2.1,0.8,0.2,11.5,1.3,1.3,0.4
Top Position,13/04/2019,15/04/2019,28/04/2019,1200,NA,22.3,27.8,12.2,13.1,3.2,NA,NA,NA,NA,NA,14.2,NA,1.6,NA
Demoscopia Servicios,13/04/2019,15/04/2019,28/04/2019,NA,NA,21.3,28.9,12.8,14.9,2.3,NA,1.5,NA,1.2,NA,12.2,NA,1.3,NA
GAD3,13/04/2019,15/04/2019,28/04/2019,2000,NA,20.9,31.3,12.3,13.2,NA,NA,NA,NA,NA,NA,11.8,NA,NA,NA
SocioMétrica,13/04/2019,15/04/2019,28/04/2019,1800,NA,19,30.2,13.2,15.7,3.2,NA,1.2,1.1,0.9,0.2,11,0.9,1.2,0.3
ElectoPanel,22/02/2019,22/02/2019,28/04/2019,10100,NA,20.2,28.2,12.3,15.1,2.8,NA,1.3,2.1,0.9,0.2,11.5,1.3,1.3,0.4
KeyData,14/04/2019,14/04/2019,28/04/2019,NA,65.2,20.8,28.8,13.5,15.6,3.4,NA,1.3,NA,0.9,0.3,9.8,NA,1.6,NA
ElectoPanel,22/02/2019,22/02/2019,28/04/2019,10000,NA,20,28.1,12.1,15.3,2.8,NA,1.3,1.9,0.8,0.2,11.1,1.3,1.3,0.4
NC Report,11/04/2019,13/04/2019,28/04/2019,1000,66.5,24.1,27.5,12.1,15.8,2.9,NA,1.3,NA,0.8,0.3,9.1,1.8,1.3,0.4
IMOP,11/04/2019,13/04/2019,28/04/2019,1410,70,18.6,31,13.4,15.8,3.3,NA,1.2,2,0.8,0.3,9.5,0.9,1.3,0.3
SocioMétrica,10/04/2019,12/04/2019,28/04/2019,1800,NA,19.1,29.9,13,15.4,3.2,NA,1.3,1.2,1,0.3,11.2,0.8,1.4,0.4
GAD3,09/04/2019,11/04/2019,28/04/2019,1800,71,21,31.1,11.4,14.4,3.6,NA,1.2,1.4,0.7,0.3,11.2,0.5,1.2,NA
Demoscopia Servicios,09/04/2019,11/04/2019,28/04/2019,920,NA,20.8,27.9,13.2,16.6,2.3,NA,1.5,NA,1.1,0.2,11.7,1,1.2,NA
InvyMark,09/04/2019,11/04/2019,28/04/2019,NA,NA,20.8,27.1,13.2,16.4,NA,NA,NA,NA,NA,NA,12.7,NA,NA,NA
Celeste-Tel,08/04/2019,10/04/2019,28/04/2019,1100,NA,23.9,27.3,13.1,15.9,2.8,NA,1.2,1.5,0.8,0.3,7.8,1.5,1.6,0.5
GAD3,07/04/2019,09/04/2019,28/04/2019,2000,NA,21.3,30.9,12,13.5,NA,NA,NA,NA,NA,NA,11.2,NA,NA,NA
IMOP,07/04/2019,09/04/2019,28/04/2019,1407,70.7,19.4,31,13.2,16,3.1,NA,1.3,1.5,0.8,NA,9.8,0.8,1.3,NA
ElectoPanel,22/02/2019,22/02/2019,28/04/2019,9600,NA,20.1,27.4,11.9,15.6,2.6,NA,1.3,1.2,0.9,0.3,10.6,1.5,1.3,0.4
NC Report,04/04/2019,06/04/2019,28/04/2019,1000,66.3,24,26.9,12.3,16.1,2.8,NA,1.3,NA,0.8,0.3,9.4,1.7,1.3,0.4
IMOP,31/03/2019,31/03/2019,28/04/2019,1440,72,20,31.5,12.9,15.5,3.2,NA,1.3,1.2,0.9,NA,9.3,0.6,1.2,NA
Simple Lógica,03/04/2019,05/04/2019,28/04/2019,1054,73.7,16.7,30.5,14.4,15.5,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA
GESOP,03/04/2019,05/04/2019,28/04/2019,1500,NA,21,29.8,12,14.5,NA,NA,NA,NA,NA,NA,10.6,NA,NA,NA
SocioMétrica,29/03/2019,29/03/2019,28/04/2019,1800,NA,19.4,30.1,12.3,15.1,3,NA,1.2,1.2,0.8,0.3,10.6,1,1.3,0.5
GAD3,26/03/2019,26/03/2019,28/04/2019,4000,NA,20.9,31.1,11.5,14.9,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA
Celeste-Tel,26/03/2019,26/03/2019,28/04/2019,1100,NA,23.6,27.2,12.2,15.7,2.8,NA,1.2,1.5,0.7,0.3,8.7,1.6,1.6,0.5
KeyData,02/04/2019,02/04/2019,28/04/2019,NA,68.9,20.6,28.7,13.7,16,2.9,NA,1.2,NA,0.8,0.2,10.8,NA,1.4,NA
IMOP,27/03/2019,27/03/2019,28/04/2019,1431,69,20.8,30,13.9,14.8,3.5,NA,1.1,1.5,1,NA,9.6,0.5,1.1,NA
ElectoPanel,22/02/2019,22/02/2019,28/04/2019,8850,NA,19.9,27.7,11.4,16.6,2.4,NA,1.3,1.1,0.9,0.2,10.7,1.8,1.3,NA
IMOP,28/03/2019,30/03/2019,28/04/2019,1419,67,21.6,30,13.7,14,3.5,NA,1.1,1.8,1,NA,9.5,0.5,1.1,NA
NC Report,27/03/2019,29/03/2019,28/04/2019,1000,66.2,23.1,26.7,11.9,16.5,3,NA,1.3,NA,0.7,NA,10.3,NA,1.3,NA
SocioMétrica,27/03/2019,29/03/2019,28/04/2019,1600,NA,18.8,29,12.6,16.1,3,NA,1.2,1.2,0.9,0.3,11.9,0.5,1.3,0.3
InvyMark,27/03/2019,29/03/2019,28/04/2019,NA,NA,20.1,25.9,13,17.5,NA,NA,NA,NA,NA,NA,12.9,NA,NA,NA
Demoscopia Servicios,25/03/2019,27/03/2019,28/04/2019,1175,NA,21,27.7,13.4,16.9,2.1,NA,1.5,NA,1,NA,11.2,1.4,1.4,NA
Celeste-Tel,25/03/2019,27/03/2019,28/04/2019,1100,NA,22.9,27,12.1,16.7,2.8,NA,1.2,1.4,0.7,0.3,9.1,1.6,1.7,0.5
IMOP,24/03/2019,26/03/2019,28/04/2019,1400,65,20,31,11.9,14.9,3.3,NA,1.2,2,1.1,NA,10.1,0.7,1.3,NA
Metroscopia,23/03/2019,25/03/2019,28/04/2019,2722,67,19,28.7,14,16.3,NA,NA,NA,NA,NA,NA,11.7,NA,NA,NA
ElectoPanel,22/02/2019,22/02/2019,28/04/2019,8200,NA,20.1,28.6,11.1,16.3,2.4,NA,1.3,1.1,0.9,0.2,10.5,1.8,1.3,NA
IMOP,21/03/2019,23/03/2019,28/04/2019,1399,65.5,19.5,30.5,12.4,14.4,3.5,NA,1.3,2.1,1,NA,11,NA,1.3,NA
NC Report,20/03/2019,22/03/2019,28/04/2019,1000,NA,22.4,26.9,12,17.1,2.9,NA,1.3,NA,0.7,NA,10.7,1.5,1.2,NA
GAD3,20/03/2019,22/03/2019,28/04/2019,7500,NA,21.9,30.9,11.3,13.1,2.6,NA,1.2,NA,0.7,0.3,11.5,0.5,1.5,NA
Sondaxe,18/03/2019,20/03/2019,28/04/2019,1000,NA,18.9,26.9,13.4,13.8,3.9,NA,1,NA,0.8,0.5,13.9,NA,1.7,NA
40dB,17/03/2019,19/03/2019,28/04/2019,1500,NA,19.3,27.1,12.3,17.7,NA,NA,NA,NA,NA,NA,10.2,NA,NA,NA
CIS (SocioMétrica),16/03/2019,18/03/2019,28/04/2019,16194,NA,20.1,30.6,13.3,14.7,3.9,NA,1.4,1.8,0.9,0.4,9,0.6,1.3,0.3
CIS,16/03/2019,18/03/2019,28/04/2019,16194,74.8,17.2,30.2,12.9,13.6,4.5,NA,1.3,1.4,1.1,0.4,11.9,0.9,1.2,0.1
ElectoPanel,22/02/2019,22/02/2019,28/04/2019,7400,NA,20.7,27.3,11.3,15.4,3.2,1.3,1.3,0.9,0.8,0.3,12.5,1.7,NA,NA
NC Report,13/03/2019,15/03/2019,28/04/2019,1000,65.7,23.2,26,14.8,17.8,2.8,1.2,1.1,NA,0.6,NA,10.3,NA,NA,NA
Simple Lógica,11/03/2019,13/03/2019,28/04/2019,1092,72.8,17.1,31.2,12.4,16.7,NA,NA,NA,NA,NA,NA,8.6,NA,NA,NA
Celeste-Tel,09/03/2019,11/03/2019,28/04/2019,1100,66.4,22.8,25.4,14.3,18.1,2.7,1.7,1.2,1.2,0.7,0.3,9.6,NA,NA,NA
ElectoPanel,22/02/2019,22/02/2019,28/04/2019,6800,NA,20.3,26.9,11.4,16.1,3.3,1.3,1.3,0.9,0.8,0.3,12.3,1.8,NA,NA
KeyData,09/03/2019,09/03/2019,28/04/2019,NA,69.9,21.5,26.6,14.5,16.1,2.9,1.5,1.2,NA,0.8,0.3,10.2,NA,NA,NA
SocioMétrica,06/03/2019,08/03/2019,28/04/2019,1600,74,17.5,27.6,14.1,17.8,3.1,1.5,1,2,0.9,0.2,12.1,NA,NA,NA
GAD3,06/03/2019,08/03/2019,28/04/2019,1000,NA,22.1,30.6,11.8,13.2,2.8,1.5,1.2,NA,0.6,0.2,12.1,NA,NA,NA
InvyMark,06/03/2019,08/03/2019,28/04/2019,NA,NA,20.4,25.2,13.2,20.3,NA,NA,NA,NA,NA,NA,11.5,NA,NA,NA
ElectoPanel,22/02/2019,22/02/2019,28/04/2019,5200,NA,20.5,26.7,11.5,16.2,3.3,1.3,1.3,0.8,0.8,0.3,12.1,1.8,NA,NA
KeyData,26/02/2019,26/02/2019,28/04/2019,NA,67.9,21.5,25.1,14.5,18,3.1,1.5,1.3,NA,0.8,0.3,10.9,NA,NA,NA
Sigma Dos,20/02/2019,22/02/2019,28/04/2019,1200,NA,19.1,27.3,14.4,16,3.2,1.1,1.2,NA,NA,NA,13.3,NA,NA,NA
GAD3,20/02/2019,22/02/2019,28/04/2019,800,71,23.2,28.9,11.5,15.7,3,1.5,1.3,NA,0.6,0.2,10.8,NA,NA,NA
InvyMark,19/02/2019,21/02/2019,28/04/2019,NA,NA,21,24.3,13.9,20.2,NA,NA,NA,NA,NA,NA,11.3,NA,NA,NA
Sondaxe,19/02/2019,21/02/2019,28/04/2019,1500,NA,19.3,28.2,14.2,13.5,3.8,1.7,1.4,NA,0.8,NA,14.2,NA,NA,NA
SocioMétrica,13/02/2019,15/02/2019,28/04/2019,1000,71,18.6,24.3,11.9,18.7,3.3,1.3,1.1,1.9,0.8,0.3,11.8,2.3,NA,NA
SocioMétrica,13/02/2019,15/02/2019,28/04/2019,1000,71,18.6,24.3,15.2,18.7,3.3,1.3,1.1,1.9,0.8,0.3,11.8,NA,NA,NA
GESOP,13/02/2019,15/02/2019,28/04/2019,1000,NA,19.9,27.4,13.6,14.5,NA,NA,NA,NA,NA,NA,13,NA,NA,NA
GAD3,13/02/2019,15/02/2019,28/04/2019,1200,71,23.6,28.2,12.4,17.1,2.8,1.6,1.2,NA,0.6,0.3,8.8,NA,NA,NA
NC Report,13/02/2019,15/02/2019,28/04/2019,1000,65.6,23.6,24.1,16,18.9,2.8,1.3,1.1,NA,0.6,NA,10,NA,NA,NA
Metroscopia,11/02/2019,13/02/2019,28/04/2019,1995,65,20.5,27.6,13.8,15.4,NA,NA,NA,NA,NA,NA,12.7,NA,NA,NA
CIS(Kiko Llaneras),08/02/2019,10/02/2019,28/04/2019,2964,NA,23,27,17,17,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
CIS(SocioMétrica),08/02/2019,10/02/2019,28/04/2019,2964,67.7,20.3,27.9,17.3,17.5,2.9,1,1,2.2,0.8,0.2,6.8,NA,NA,NA
Celeste-Tel,06/02/2019,08/02/2019,28/04/2019,1100,66.4,23.1,23.7,15.8,19.2,2.8,1.7,1.2,1.1,0.8,0.3,8.9,NA,NA,NA
Simple Lógica,06/02/2019,08/02/2019,28/04/2019,1017,74.2,17.9,25.4,13.9,17,NA,NA,NA,NA,NA,NA,11.7,NA,NA,NA
InvyMark,28/01/2019,28/01/2019,28/04/2019,NA,NA,21.3,23.9,13.5,20.9,NA,NA,NA,NA,NA,NA,11.2,NA,NA,NA
ElectoPanel,28/01/2019,30/01/2019,28/04/2019,2890,NA,20.1,23.1,14.9,19.6,NA,NA,NA,NA,NA,NA,12.1,NA,NA,NA
KeyData,27/01/2019,27/01/2019,28/04/2019,NA,68.7,21.5,22.3,14.8,19.8,3.1,1.6,1.1,NA,0.9,0.3,10.3,NA,NA,NA
NC Report,23/01/2019,25/01/2019,28/04/2019,1000,65.9,24,24.2,16.6,18.7,2.8,1.2,0.9,NA,0.7,NA,9.4,NA,NA,NA
GAD3,22/01/2019,24/01/2019,28/04/2019,1800,NA,23,26.5,11.6,17.1,2.8,1.6,1.2,NA,0.6,0.2,9.8,NA,NA,NA
InvyMark,16/01/2019,18/01/2019,28/04/2019,NA,NA,21.5,23.2,14.4,23,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA
Metroscopia,13/01/2019,15/01/2019,28/04/2019,2332,67,19.1,23.7,17.1,17.8,NA,NA,NA,NA,NA,NA,12.1,NA,NA,NA
ElectoPanel,11/01/2019,13/01/2019,28/04/2019,1399,NA,19.1,21.3,16.3,19.9,NA,NA,NA,1.1,NA,NA,13,NA,NA,NA
CIS(Kiko Llaneras),11/01/2019,13/01/2019,28/04/2019,2989,NA,21,24,18.6,18.6,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA
CIS(SocioMétrica),11/01/2019,13/01/2019,28/04/2019,2989,65,19.3,23.8,18,19,3.7,1.1,1.2,1.9,1.1,0.3,8.1,NA,NA,NA
Hamalgama Métrica,15/12/2019,15/12/2019,28/04/2019,NA,NA,22.5,21.2,19.3,18.2,2.5,1.8,2,NA,0.6,0.2,8.7,NA,NA,NA
Simple Lógica,07/01/2019,09/01/2019,28/04/2019,1042,71,18.2,25.1,14,17.9,NA,NA,NA,NA,NA,NA,11.5,NA,NA,NA
Celeste-Tel,06/01/2019,08/01/2019,28/04/2019,1100,66.8,23.8,24.1,16.1,19.6,2.8,1.5,1,0.8,0.7,0.3,8.1,NA,NA,NA
SocioMétrica,22/12/2019,22/12/2019,28/04/2019,2200,NA,18.3,22.4,17.1,18.5,3.2,1.4,1.2,NA,0.9,0.3,12.5,NA,NA,NA
KeyData,02/01/2019,02/01/2019,28/04/2019,NA,68.1,22,22.6,15.2,20.5,2.9,1.7,1.1,NA,0.8,0.3,8.6,NA,NA,NA
